order,id,name,name_change_note,action,year,tier,suggested_image_filename,current_image_path,summary,domains,stack,connections,notes
11,meaning-stack,THE MEANING STACK,,keep,2025,lead,meaning-stack-github-constellation.jpg,images/atlas/meaning-stack-github-constellation.webp,"Seven federated GitHub repositories architected as a single cross-disciplinary system: choreography-of-systems, 3D-Beat-Synth, STORYLINES, music-engines, DERIVE, HAH-WAS, photon+. Authorship language (choreography, score, atlas) replaces engineering language (pipeline, framework, engine). The technical framework that proves the practice is architecture all the way down.",code|systems,GitHub|Systems Architecture|Documentation,systems-choreography|telescode|codeverse-explorer,"Image: the GitHub network graph for the Meaning Stack repos, or a constellation diagram of the seven repos with connecting lines. Black bg."
12,systems-choreography,SYSTEMS CHOREOGRAPHY,,keep,2024,lead,systems-choreography-diagram.jpg,images/atlas/systems-choreography-diagram.webp,"Core methodology: treating sound, text, image, code, space, and systems as one interconnected inquiry rather than separate disciplines. The diagonal move — working across fields at angles, finding connective tissue rather than specializing vertically or generalizing horizontally. The invisible architecture behind the entire practice.",code|space|systems,Systems Theory|Practice Architecture|Interdisciplinary Research,meaning-stack|fictive-environments|choreography-of-systems,"Image: a Mark Lombardi-style hand-drawn diagram connecting nodes labeled with the six domains — stark, architectural, on paper or black ground."
13,rolling-stone-cover,ROLLING STONE MIDDLE EAST COVER,,keep,2017,lead,rolling-stone-mena-cover-mashrou.jpg,images/atlas/rolling-stone-mena-cover-mashrou.webp,The first Middle Eastern act on the cover of Rolling Stone — a cultural milestone that formalized Mashrou' Leila's crossover into the broader regional and international media imaginary. The image that made the argument legible to an audience that hadn't been paying attention.,image|systems,Media|Photography|Cultural Documentation,mashrou-leila|cost-of-being-queer-and-arab,Current image is correct — the Rolling Stone cover itself. Keep it.
14,lede-nyc,LEDE.NYC,,keep,2026,lead,lede-nyc-civic-intelligence-ui.jpg,images/atlas/lede-nyc-civic-intelligence-ui.webp,"Autonomous civic intelligence platform for New York City. BigQuery backend, hybrid LLM orchestration, zero human editorial intervention. Neighborhood briefings synthesized from municipal datasets. The missing middle between social panic (Nextdoor, Citizen) and static real estate portals (StreetEasy). Features: Lease Due Diligence Engine, Scaffold Duration Forecasting, Block Mood Forecast, Canine Commute Optimizer.",code|text|systems,Next.js|BigQuery|MCP|AI Agents,fictive-environments|frank|project-zero,Image: use one of the Lede.nyc Civic Intelligence webp images already in Drive — the UI screenshot with neighborhood data visible.
15,sophies-world,SOPHIE'S WORLD,,keep,2012,secondary,sophies-world-film-still.jpg,images/atlas/sophies-world-film-still.webp,Early AI short film and Bartlett dissertation companion. Made during the MArch at UCL — one of the first experiments in the practice where code and image met as co-authors rather than tool and maker. The seed of what eventually became the Codeverse and the Localization Gap methods.,image|code,Film|Early AI|Experimental Video,architecture-in-low-res|material-for-a-novel,"Image: a film still — something cinematic, slightly uncanny. If no still exists, use a frame from the dissertation document."
16,architecture-in-low-res,ARCHITECTURE IN LOW RES,,keep,2015,secondary,architecture-low-res-thesis-render.jpg,images/atlas/architecture-low-res-thesis-render.webp,"Bartlett MArch thesis: how does architecture change when mediated through low-resolution screens? Digital perception, pixelation, and the gap between a building and its representation. The seed crystal for much of the later work — once you see this thesis, the portfolio stops looking eclectic and starts looking precise.",space|image|text,Architecture|Digital Mediation|Thesis Research,sophies-world|tuning-fork|codeverse-explorer,Keep current image if it shows the thesis rendering. It reads well.
17,b018-nightclub,B018 NIGHTCLUB,,keep,2008,secondary,b018-nightclub-dw5-interior.jpg,images/atlas/b018-nightclub-dw5-interior.webp,"Architectural work at Bernard Khoury / DW5 on Beirut's iconic B018 nightclub — a club built underground to reference the civil war-era history of the site, designed to disappear into the landscape. Early professional practice at the intersection of spatial, cultural, and political thinking.",space,Architecture|DW5|Beirut,plot-house|aub-architecture-b-arch,"Image: the B018 interior or the iconic retractable roof open at night — widely photographed. Atmospheric, architectural."
18,the-labyrinth,THE LABYRINTH,,keep,2024,secondary,the-labyrinth-sayat-nova-script.jpg,images/atlas/the-labyrinth-sayat-nova-script.webp,"Recursive novel and script involving Sayat Nova — the Armenian troubadour poet, patron saint of the exile who sings in a language no one else speaks. A story that knows it is a story, and uses that knowledge as a structural device. Companion work to The Annex.",text|image,Literary Fiction|Script|Narrative Design,the-annex|storylines|sometimes-i-wake-up-elsewhere,Image: a fragment of Armenian script or a medieval illumination detail — something that holds the weight of Sayat Nova without illustrating him literally.
19,the-annex,THE ANNEX,,keep,2024,secondary,the-annex-stage-design-script.jpg,images/atlas/the-annex-stage-design-script.webp,"Stage design script exploring memory as spatial problem — the room that holds what the body can't. A companion piece to The Labyrinth: where The Labyrinth is recursive and narrative, The Annex is spatial and performative. Both are architectural arguments made in literary form.",space|text,Stage Design|Script|Performance Architecture,the-labyrinth|space-time-tuning-machine,"Image: a spare stage plan or elevation drawing, hand-rendered or digitally austere."
20,vessel-orchestra,VESSEL ORCHESTRA,,keep,2019,secondary,vessel-orchestra-met-performance.jpg,images/atlas/vessel-orchestra-met-performance.webp,"Performance at The Metropolitan Museum of Art using found artifacts and resonant objects as instruments — the museum's collection as an orchestra. Sound extracted from objects that weren't made to make sound. Space, history, and the body in acoustic conversation.",sound|space,Live Performance|Sound Art|Institutional Programming,vessel-orchestra-met|mashrou-leila,Image: the MET performance — ideally a wide shot showing both the space and the performers in relation to artifacts.
21,space-time-tuning-machine,SPACE TIME TUNING MACHINE,,keep,2021,secondary,sttm-broad-museum-installation.jpg,images/atlas/sttm-broad-museum-installation.webp,"A cross-disciplinary body of work premiered at SXSW and The Broad Museum, Los Angeles. An instrument played not by making sound from silence but in reverse — tuning noise into melody, melody into silence. Architecture as instrument. The conceptual spine: a wandering troubadour with no memory of songs, finding broken instruments, building a machine to guide the way home. Lineage: Basinski → Caretaker → King Tubby → Eno → Pauline Oliveros.",sound|space|systems,Spatial Audio|Max/MSP|Custom Hardware|Architectural Design,tebr|derive|1000-strings-at-rest,Keep current image if it shows the installation. Strong spatial photograph.
22,yo-yo-ma-collaboration,YO-YO MA COLLABORATION,,keep,2021,secondary,yo-yo-ma-byblos-performance.jpg,,"Performance in Byblos, Lebanon — 'Ha'oud (I Will Return)' with Yo-Yo Ma, Mashrou' Leila, and Narcy, from the album Notes for the Future. Cello and voice in an ancient Phoenician city, released as a cultural document during a year of extraordinary Lebanese loss.",sound,Live Performance|Collaboration|Ma+Artists,mashrou-leila|space-time-tuning-machine,"Image: performance still from Byblos — ideally Yo-Yo Ma and Haig/band visible together. Warm, historic setting."
23,ibn-el-leil-album,IBN EL LEIL,,keep,2015,secondary,ibn-el-leil-album-cover-full.jpg,images/atlas/ibn-el-leil-album-cover-full.webp,"The band's most internationally legible full-length — baroque pop, Beirut nightlife, risk, and queer futurity. Ibn El Leil (Son of the Night) distilled the aesthetic into its sharpest form: the night as the only time and place where you can be yourself. Premiered at the Barbican, London.",sound|image,Music Production|Album|Ableton,raasuk-album|barbican-release,Current image (album cover) is correct.
24,raasuk-album,RAASÜK,,keep,2013,secondary,raasuk-album-cover.jpg,images/atlas/raasuk-album-cover.webp,"Second studio album. The moment the band's visual and sonic language became unmistakably iconic: direct, synthetic, theatrical, and politically alert. Raasük (Shackles) — movement constrained and then released. The record that broke the band regionally and set the visual grammar for the next decade of work.",sound|image,Music Production|Album|Visual Identity,el-hal-romancy|stage-architecture,Current image is correct.
25,el-hal-romancy,EL HAL ROMANCY,,keep,2011,secondary,el-hal-romancy-album.jpg,images/atlas/el-hal-romancy-album.webp,The EP that pushed the early Mashrou' Leila world into a richer narrative and visual mythology while the audience was rapidly expanding. El Hal Romancy (The Romantic Solution) — bureaucracy as romantic condition. The album that named an aesthetic and began the practice of using form as content.,sound|image,Music Production|Album,raasuk-album|mashrou-leila,Current image is correct.
26,plot-house,PLOT HOUSE,,keep,2009,secondary,plot-house-beirut-dw5.jpg,images/atlas/plot-house-beirut-dw5.webp,Residential architectural project in Beirut at Bernard Khoury / DW5. Early professional practice — a building that negotiates between the dense urban fabric of Beirut and the program of the private home. Architecture as negotiation rather than assertion.,space,Architecture|DW5|Residential,b018-nightclub|plot-1063-tower,"Image: architectural photograph of the building exterior, or a plan/section drawing."
27,frank,FRANK,,keep,2026,secondary,frank-bias-detection-ui.jpg,images/atlas/frank-bias-detection-ui.webp,"News analysis application for media bias detection — the Localization Gap methodology applied to text corpora rather than audio. FRANK surfaces the structural assumptions embedded in how events are framed, sourced, and narrated. A forensic tool for the information layer.",code|systems,Code|AI/ML|NLP|Bias Detection,localization-gap|hah-was,"Image: a UI screenshot showing bias analysis output, or a split-screen of two news articles with differential markup."
28,sunburn,SUNBURN,,keep,2026,secondary,sunburn-weather-sonification.jpg,images/atlas/sunburn-weather-rehearsal-climate-synthesis.webp,"Climate data sonification installation. Real-time urban weather data translated into a generative score — the city playing itself. A performance where the instrument is the atmosphere and the score is written by meteorological systems. Spatial, ecological, and architectural thinking applied to sound.",sound|space,Max/MSP|Python|Environmental Data|Live Performance,systems-choreography|space-time-tuning-machine,"Image: a data visualization of weather patterns with superimposed notation, or a performance still in an outdoor/gallery setting."
29,post-apocalyptic-walking-tour,POST-APOCALYPTIC WALKING TOUR,,keep,2020,secondary,post-apocalyptic-walking-tour-beirut-ar.jpg,images/atlas/post-apocalyptic-walking-tour-beirut-ar.webp,"AR performance overlaying future ruins on the streets of Beirut — shot in the weeks after the August 2020 port explosion. A walk through the city as it already was, narrated by what it might become. Augmented reality not as novelty but as grief instrument.",image|space,AR|Performance|Video Documentation,variations-on-cranes|nowhere-elsewhere,"Image: a still from the AR overlay showing ruins superimposed on an actual Beirut street, or a performer walking with a phone/device."
30,skyline-of-insomnia,SKYLINE OF INSOMNIA,,keep,2018,secondary,skyline-insomnia-nocturnal-beirut.jpg,images/atlas/skyline-insomnia-nocturnal-beirut.webp,"Visual study of nocturnal urban density — Beirut's skyline as insomniac consciousness. The city that never fully sleeps, never fully wakes. A 5,162-word Calvino-influenced literary fiction piece and visual series that reads the city as a body in a state of partial rest.",image|space,Photography|Literary Fiction|Urban Study,the-beirut-school|cartography-of-absence,"Image: a long-exposure night photograph of Beirut's skyline or a dense urban view — high contrast, blue-black tones."
31,bureaucratic-surrealism,BUREAUCRATIC SURREALISM,,keep,2024,secondary,bureaucratic-surrealism-form-detail.jpg,images/atlas/bureaucratic-surrealism-form-detail.webp,"Aesthetic framework and sustained research practice: bureaucratizing the unbureaucratizable. Form as content. The document as literary artifact. The archive as fiction. Connects The Cartography of Absence, The Crane Song, the Body Maintenance Log, and the Localization Gap methodology — all of which use institutional language as a literary device, not as parody but as texture.",text|image|systems,Literary Theory|Form Experimentation|Systems Design,cartography-of-absence|the-erasure-protocols,"Image: a detail of an administrative form (passport, visa, census) with poetic or impossible answers typed/handwritten in. Stark. Slightly uncanny."
32,telescode,TELESCODE,,keep,2025,secondary,telescode-code-visualization.jpg,images/atlas/telescode-code-visualization.webp,"Spatial code visualization and interactive mapping tool — a 3D interface for navigating codebase architecture. Where Codeverse Explorer is the conceptual frame, Telescode is the working implementation. Code made walkable, with acetate-layer depth navigation. Architecture as interface.",code,Code Visualization|3D Interface|WebGL,meaning-stack|codeverse-explorer,"Image: a screenshot of the 3D codebase visualization — nodes, connections, depth layers visible. Black bg."
33,menara,MENARA,,keep,2025,secondary,menara-generative-architectural-render.jpg,images/atlas/menara-generative-architectural-render.webp,"Generative architectural visualization project — and more: MENARA is also a concept for regional music sovereignty infrastructure, a platform for Arabic musical heritage in the age of AI. The name means lighthouse. It occupies the space between a spatial rendering tool and a cultural institution.",space|code,Generative Architecture|Visualization|Cultural Infrastructure,mekena-nyc|arabic-pop-1925-2025,"Image: a generative architectural rendering — abstract, volumetric, with Arabic geometric motifs or structural echoes. Warm light on dark ground."
34,itp-camp-prototypes,ITP CAMP PROTOTYPES,,keep,2024,secondary,itp-camp-prototypes-2024.jpg,images/atlas/itp-camp-prototypes-2024.webp,"Experimental tech objects built during NYU ITP Camp 2024 — physical computing, speculative interfaces, early hardware prototypes. The residency that grounded the practice in a maker culture, adding tactile and embodied thinking to the predominantly conceptual and digital work.",code|sound,Physical Computing|Prototyping|Hardware,systems-choreography|3d-beat-synth,"Image: a photograph of the prototypes on a workbench — wires, circuit boards, physical objects with screens or sensors visible."
35,artistic-freedom-initiative,ARTISTIC FREEDOM INITIATIVE,,keep,2023,secondary,artistic-freedom-initiative-campaign.jpg,images/atlas/artistic-freedom-archive-of-bans-censorship.webp,"International advocacy campaigns for human rights and creative liberty — documentation of the censorship of Mashrou' Leila and other artists across MENA, translated into institutional pressure and public record. The legal and advocacy infrastructure built around the practice of making work that gets banned.",systems|text,Advocacy|Human Rights|Cultural Policy,cost-of-being-queer-and-arab|mashrou-leila,"Image: a campaign graphic or press release visual — clean, institutional, with a sense of formal documentation."
36,souad,SOUAD,,keep,2014,secondary,souad-family-archive-installation.jpg,,"Installation and novella exploring the family archive — photographs, objects, documents assembled into a narrative about a woman (Souad) and the gaps in what gets recorded. The document and the absence of document as equal subjects. An early experiment in the bureaucratic surrealism mode.",text|image,Installation|Novella|Archive,sometimes-i-wake-up-elsewhere|nowhere-elsewhere,"Image: an installation shot showing photographs or documents arranged spatially, or a detail of the archive materials."
37,the-beirut-school,THE BEIRUT SCHOOL,,keep,2019,secondary,the-beirut-school-anthology.jpg,,"Anthology project and performance cycle — a collective term for a body of work (and an album) that attempts to document and transmit a specific cultural moment in Beirut before it became unavailable. The city as school, the practice as curriculum.",sound|image,Music|Performance|Cultural Documentation,mashrou-leila|the-beirut-school-album,"Image: a Beirut street photograph, warm and slightly overexposed — the feeling of a city in the middle of something."
38,material-for-a-novel,MATERIAL FOR A NOVEL,,keep,2014,secondary,material-for-a-novel-video-still.jpg,images/atlas/material-for-a-novel-video-still.webp,Video essay on tragic endings and memory — found footage and first-person narration examining how endings are constructed and retroactively narrated. The research object and the creative output occupying the same frame. An early experiment in the essayistic mode that runs through all the literary work.,image|text,Video Essay|Found Footage|Experimental Film,sophies-world|cartography-of-absence,"Image: a video still — slightly grainy, documentary quality, with text overlay or a face partially visible."
39,hah-was,HAH-WAS,,keep,2026,secondary,hah-was-hallucination-detection-ui.jpg,images/atlas/hah-was-binary-channel-barcode-waveform.webp,"Hallucination-detection engine for large language models — the Localization Gap methodology applied to the reliability layer of AI systems. HAH-WAS (سياج, 'fence' or 'sieve') measures not just factual error but cultural erasure: the model's confident wrong answer about a maqam, a place name, a practice. One of the clearest statements in the portfolio that cultural erasure in AI is measurable, not accidental.",code|systems|text,Python|NLP|LLM Evaluation|AI/ML,localization-gap|frank,Replace current image with a UI screenshot showing hallucination detection output — flagged model responses with confidence scores.
40,plot-1063-tower,PLOT #1063 TOWER,,keep,2010,secondary,plot-1063-tower-beirut.jpg,images/atlas/plot-1063-tower-beirut.webp,Architectural high-rise project in Beirut at Bernard Khoury / DW5 — a tower navigating the density and vertical ambition of post-war Beirut construction. Early professional practice in large-scale urban architecture.,space,Architecture|DW5|High-Rise,plot-house|b018-nightclub,"Image: architectural rendering or photograph of the tower — vertical, Beirut skyline context."
41,2006-reconstruction,2006 RECONSTRUCTION,,keep,2006,secondary,2006-reconstruction-south-lebanon.jpg,images/atlas/2006-reconstruction-south-lebanon.webp,Post-conflict urban mapping and planning projects in South Lebanon following the 2006 war — conducted during undergraduate studies at AUB. Architecture as humanitarian response; documentation as political act. The earliest instance of the practice engaging with the built environment as a site of political consequence.,space|systems,Urban Mapping|Post-Conflict Planning|AUB,aub-architecture-b-arch|post-conflict-urbanism,"Image: a site map or aerial photograph of South Lebanon reconstruction areas — cartographic, infrastructural."
42,new-york-voices,NEW YORK VOICES,,keep,2023,secondary,new-york-voices-joes-pub.jpg,images/atlas/new-york-voices-joes-pub.webp,"Commissioned performance at Joe's Pub, New York — an original work for voice, electronics, and spatial sound exploring the layered identities of New York as a city of transit and arrival. The first major NYC performance work after relocating from Beirut.",sound|image,Live Performance|Composition|Spatial Sound,people-like-us-podcast|mekena-nyc|nyu-kevorkian-residency,"Image: a performance still from Joe's Pub — stage lighting, performer visible, intimate venue scale."
43,people-like-us-podcast,PEOPLE LIKE US PODCAST,,keep,2021,secondary,people-like-us-podcast-visual-identity.jpg,images/atlas/people-like-us-podcast-visual-identity.webp,Original score and visual identity for the documentary podcast series. Sound and image working together as the identity layer — the practice applied to longform audio at the intersection of cultural journalism and sound design.,sound|image,Sound Design|Visual Identity|Podcast,mekena-nyc|new-york-voices|nyu-kevorkian-residency,"Image: the podcast's cover art or a still from a visual episode — strong visual identity, brand-forward."
44,museum-of-architecture,MUSEUM OF ARCHITECTURE,,keep,2009,secondary,museum-of-architecture-aub-design.jpg,images/atlas/museum-of-architecture-aub-design.webp,Award-winning AUB undergraduate architectural design project — a museum of architecture designed as a building that performs its own subject. Won the Fawzi Azar Award for architectural excellence at AUB.,space,Architecture|AUB|Academic Design,fawzi-azar-award|aub-architecture-b-arch,"Image: the design presentation — renderings, model photographs, or plans. Architectural quality."
45,arabic-pop-1925-2025,ARABIC POP 1925–2025,,keep,2025,secondary,arabic-pop-century-interactive-map.jpg,,"Interactive mapping of a century of Arabic popular music — tracing stylistic evolution, geographic spread, and cultural inflection points from the early recording era to the present. The historical research that contextualizes the Localization Gap and gives TEBR its genealogy.",sound|code,Data Visualization|Music History|Interactive Web,tebr|localization-gap|maqamai,"Image: a timeline visualization or geographic map of Arabic music's spread — data-forward, archival aesthetic."
46,stage-architecture,STAGE ARCHITECTURE,,keep,2015–22,secondary,stage-architecture-mashrou-tour.jpg,images/atlas/stage-architecture-mashrou-tour.webp,"Narrative scenography designed for Mashrou' Leila's global tours — stages as architectural propositions, not just platforms. Each tour's visual environment was designed as an argument about the music: industrial, intimate, monumental, or in ruins. Seven years of building temporary architecture for 35,000-person crowds.",space|image,Stage Design|Scenography|Tour Production,mashrou-leila|space-time-tuning-machine,"Image: a wide shot of a major stage design — crowd visible, architectural elements foregrounded. The Baalbeck or a festival stage."
47,nowhere-elsewhere,NOWHERE/ELSEWHERE,,keep,2022,secondary,nowhere-elsewhere-transit-visual.jpg,images/atlas/nowhere-elsewhere-transit-visual.webp,"108-entry narrative cycle structured into nine Houses — the predecessor to The Cartography of Absence and Sometimes I Wake Up Elsewhere. The project that established the form: bureaucratic structures as containers for the unbureaucratizable. Transit states, non-arrival, the experience of being between.",image|text,Narrative Cycle|Bureaucratic Form|Literary Structure,cartography-of-absence|crane-song,"Image: a photograph of a transit space — airport corridor, ferry terminal, border crossing — slightly motion-blurred."
48,kardia,KARDIA,,keep,2021,secondary,kardia-somatic-synthesizer-ui.jpg,images/atlas/kardia-topographic-3d-mesh-contour.webp,"Mobile biofeedback instrument — React Native, AudioKit (iOS), Oboe (Android), React Native Skia. Heart rate data mapped to generative sound via the Iso-Principle: match the user's physiological state, then guide toward clarity as the body calms. Excavation, not addition — start from dense harmonic chaos, calm the body to reveal the music. The body as compositional input.",code|sound|systems,React Native|AudioKit|Biofeedback|Generative Audio,body-maintenance-log|space-time-tuning-machine,"Image: a smartphone screen showing the Kardia UI — the three-zone vertical drag model, heart rate abstracted into waveform texture."
49,loop-corridor,LOOP CORRIDOR,,keep,2025,secondary,loop-corridor-virtual-space.jpg,images/atlas/sparrowos-surveillance-dashboard-four-panel.webp,"Meditative art game: bureaucratic purgatory corridors that mutate across loop counts. A virtual architectural space where the environment changes based on repetition — each pass through the corridor slightly different from the last, accumulating distortion. Space, sound, and time as a feedback system.",space|sound,Game Design|Virtual Architecture|Sound Design,space-time-tuning-machine|derive,"Image: a first-person perspective screenshot from inside the corridor — slightly uncanny, architectural, with visible mutations or distortions."
50,3d-beat-synth,3D-BEAT-SYNTH,,keep,2025,secondary,3d-beat-synth-webgl-interface.jpg,images/atlas/3d-beat-synth-freq-amp-wireframe.webp,Spatial audio modulation interface: Three.js + Web Audio API. Sound positioned in 3D space and navigated through — the synthesizer becomes a room you walk around inside. One of the most immediately legible proofs in the portfolio that technical experimentation can stay conceptually clean and experientially immediate.,code|sound|image,Three.js|WebGL|Web Audio API,itp-camp-prototypes|kardia|photon-plus,Keep or replace with a cleaner WebGL screenshot — the 3D interface with sound nodes visible in space.
51,storylines,STORYLINES,,keep,2024,secondary,storylines-graph-interface.jpg,images/atlas/storylines-knowledge-graph-network-dense.webp,"Graph-based narrative tool — a relational interface for building and navigating story structures where relationships between nodes define meaning rather than linear sequence. Shows how abstract ideas can be translated into a working relational interface that remains legible, surprising, and technically credible.",code|text|image,Graph Database|Narrative Design|React,the-labyrinth|meaning-stack,Keep current image if it shows the graph clearly. Strong visual.
52,architectures-of-belonging,ARCHITECTURES OF BELONGING,,keep,2021,secondary,architectures-of-belonging-research.jpg,images/atlas/architectures-of-belonging-cohesion-model.webp,"Research project on spatial agency and identity — how built environments either enable or deny belonging, with particular attention to diasporic and displaced communities. Academic and practice-based research that forms the theoretical underpinning of MEKENA NYC.",space|text,Spatial Research|Cultural Theory|Academic,nyu-kevorkian-residency|mekena-nyc,"Image: a research document spread, or a spatial diagram mapping belonging across a building or neighborhood."
53,the-codex-project,THE CODEX PROJECT,,keep,2025,secondary,codex-project-metadata-visualization.jpg,images/atlas/derive-negentropic-sorted-blocks-grid.webp,"Visualizing hidden metadata in archives — a tool for surfacing what documents contain beyond their ostensible content: timestamp patterns, authorship traces, revision histories, embedded coordinates. The archive made legible at a layer below the text.",code|image,Data Visualization|Archive Research|Metadata,meaning-stack|the-archive,"Image: a visualization of document metadata — connection maps, timestamp clusters, revision trees. Data-forward."
